year,cd,Industry,Income,District_number,State,cd_name,scaled
2019,0_AK,Educationalservices healthcare socialassistance,100k-149k,0,Alaska,us-ak-00,1
2019,0_DC,Professional services,150k and more,0,District of Columbia,us-dc-00,2
2019,0_DE,Educationalservices healthcare socialassistance,50k-74k,0,Delaware,us-de-00,1
2019,0_ND,Educationalservices healthcare socialassistance,50k-74k,0,North Dakota,us-nd-00,1
2019,0_PR,Educationalservices healthcare socialassistance,Less than 5k,0,Puerto Rico,us-pr-00,1
2019,0_SD,Educationalservices healthcare socialassistance,50k-74k,0,South Dakota,us-sd-00,1
2019,0_VT,Educationalservices healthcare socialassistance,50k-74k,0,Vermont,us-vt-00,1
2019,0_WY,Educationalservices healthcare socialassistance,50k-74k,0,Wyoming,us-wy-00,1
2019,1_AL,Educationalservices healthcare socialassistance,50k-74k,1,Alabama,us-al-01,1
2019,1_AR,Educationalservices healthcare socialassistance,50k-74k,1,Arkansas,us-ar-01,1
2019,1_AZ,Educationalservices healthcare socialassistance,150k and more,1,Arizona,us-az-01,1
2019,1_CA,Educationalservices healthcare socialassistance,50k-74k,1,California,us-ca-01,1
2019,1_CO,Professional services,150k and more,1,Colorado,us-co-01,2
2019,1_CT,Educationalservices healthcare socialassistance,100k-149k,1,Connecticut,us-ct-01,1
2019,1_FL,Educationalservices healthcare socialassistance,50k-74k,1,Florida,us-fl-01,1
2019,1_GA,Educationalservices healthcare socialassistance,50k-74k,1,Georgia,us-ga-01,1
2019,1_HI,Educationalservices healthcare socialassistance,150k and more,1,Hawaii,us-hi-01,1
2019,1_IA,Educationalservices healthcare socialassistance,50k-74k,1,Iowa,us-ia-01,1
2019,1_ID,Educationalservices healthcare socialassistance,50k-74k,1,Idaho,us-id-01,1
2019,1_IL,Educationalservices healthcare socialassistance,150k and more,1,Illinois,us-il-01,1
2019,1_IN,Educationalservices healthcare socialassistance,50k-74k,1,Indiana,us-in-01,1
2019,1_KS,Educationalservices healthcare socialassistance,50k-74k,1,Kansas,us-ks-01,1
2019,1_KY,Educationalservices healthcare socialassistance,50k-74k,1,Kentucky,us-ky-01,1
2019,1_LA,Educationalservices healthcare socialassistance,50k-74k,1,Louisiana,us-la-01,1
2019,1_MA,Educationalservices healthcare socialassistance,50k-74k,1,Massachusetts,us-ma-01,1
2019,1_MD,Educationalservices healthcare socialassistance,100k-149k,1,Maryland,us-md-01,1
2019,1_ME,Educationalservices healthcare socialassistance,50k-74k,1,Maine,us-me-01,1
2019,1_MI,Educationalservices healthcare socialassistance,50k-74k,1,Michigan,us-mi-01,1
2019,1_MN,Educationalservices healthcare socialassistance,50k-74k,1,Minnesota,us-mn-01,1
2019,1_MO,Educationalservices healthcare socialassistance,50k-74k,1,Missouri,us-mo-01,1
2019,1_MS,Educationalservices healthcare socialassistance,50k-74k,1,Mississippi,us-ms-01,1
2019,1_MT,Educationalservices healthcare socialassistance,50k-74k,1,Montana,us-mt-01,1
2019,1_NC,Educationalservices healthcare socialassistance,50k-74k,1,North Carolina,us-nc-01,1
2019,1_NE,Educationalservices healthcare socialassistance,50k-74k,1,Nebraska,us-ne-01,1
2019,1_NH,Educationalservices healthcare socialassistance,100k-149k,1,New Hampshire,us-nh-01,1
2019,1_NJ,Educationalservices healthcare socialassistance,150k and more,1,New Jersey,us-nj-01,1
2019,1_NM,Educationalservices healthcare socialassistance,50k-74k,1,New Mexico,us-nm-01,1
2019,1_NV,Arts entertainment and foodservices,50k-74k,1,Nevada,us-nv-01,3
2019,1_NY,Educationalservices healthcare socialassistance,150k and more,1,New York,us-ny-01,1
2019,1_OH,Educationalservices healthcare socialassistance,50k-74k,1,Ohio,us-oh-01,1
2019,1_OK,Educationalservices healthcare socialassistance,50k-74k,1,Oklahoma,us-ok-01,1
2019,1_OR,Manufacturing,150k and more,1,Oregon,us-or-01,4
2019,1_PA,Educationalservices healthcare socialassistance,150k and more,1,Pennsylvania,us-pa-01,1
2019,1_RI,Educationalservices healthcare socialassistance,150k and more,1,Rhode Island,us-ri-01,1
2019,1_SC,Educationalservices healthcare socialassistance,150k and more,1,South Carolina,us-sc-01,1
2019,1_TN,Educationalservices healthcare socialassistance,50k-74k,1,Tennessee,us-tn-01,1
2019,1_TX,Educationalservices healthcare socialassistance,50k-74k,1,Texas,us-tx-01,1
2019,1_UT,Manufacturing,50k-74k,1,Utah,us-ut-01,4
2019,1_VA,Educationalservices healthcare socialassistance,100k-149k,1,Virginia,us-va-01,1
2019,1_WA,Professional services,150k and more,1,Washington,us-wa-01,2
2019,1_WI,Manufacturing,50k-74k,1,Wisconsin,us-wi-01,4
2019,1_WV,Educationalservices healthcare socialassistance,50k-74k,1,West Virginia,us-wv-01,1
2019,10_CA,Professional services,150k and more,10,California,us-ca-10,2
2019,10_FL,Educationalservices healthcare socialassistance,50k-74k,10,Florida,us-fl-10,1
2019,10_GA,Educationalservices healthcare socialassistance,50k-74k,10,Georgia,us-ga-10,1
2019,10_IL,Educationalservices healthcare socialassistance,150k and more,10,Illinois,us-il-10,1
2019,10_MI,Manufacturing,50k-74k,10,Michigan,us-mi-10,4
2019,10_NC,Manufacturing,50k-74k,10,North Carolina,us-nc-10,4
2019,10_NJ,Educationalservices healthcare socialassistance,50k-74k,10,New Jersey,us-nj-10,1
2019,10_NY,Professional services,150k and more,10,New York,us-ny-10,2
2019,10_OH,Educationalservices healthcare socialassistance,50k-74k,10,Ohio,us-oh-10,1
2019,10_PA,Educationalservices healthcare socialassistance,50k-74k,10,Pennsylvania,us-pa-10,1
2019,10_TX,Educationalservices healthcare socialassistance,150k and more,10,Texas,us-tx-10,1
2019,10_VA,Professional services,150k and more,10,Virginia,us-va-10,2
2019,10_WA,Educationalservices healthcare socialassistance,100k-149k,10,Washington,us-wa-10,1
2019,11_CA,Professional services,150k and more,11,California,us-ca-11,2
2019,11_FL,Educationalservices healthcare socialassistance,50k-74k,11,Florida,us-fl-11,1
2019,11_GA,Professional services,150k and more,11,Georgia,us-ga-11,2
2019,11_IL,Educationalservices healthcare socialassistance,150k and more,11,Illinois,us-il-11,1
