Income,income_value,education_range,education_value
Less than 5k,0.024865674,Bachelors degree or higher,0.265102325
Less than 5k,0.049438253,Bachelors degree or higher,0.583471774
Less than 5k,0.029483952,Bachelors degree or higher,0.308684418
Less than 5k,0.02732249,Bachelors degree or higher,0.296767348
Less than 5k,0.141112476,Bachelors degree or higher,0.279185024
Less than 5k,0.025849318,Bachelors degree or higher,0.283934915
Less than 5k,0.023301614,Bachelors degree or higher,0.36637518
Less than 5k,0.025419488,Bachelors degree or higher,0.257892419
Less than 5k,0.040086524,Bachelors degree or higher,0.24109278
Less than 5k,0.038331531,Bachelors degree or higher,0.174710483
Less than 5k,0.027175421,Bachelors degree or higher,0.423906369
Less than 5k,0.034199349,Bachelors degree or higher,0.197346034
Less than 5k,0.028779219,Bachelors degree or higher,0.518413922
Less than 5k,0.032717424,Bachelors degree or higher,0.355221155
Less than 5k,0.028119537,Bachelors degree or higher,0.270840143
Less than 5k,0.037959239,Bachelors degree or higher,0.241439286
Less than 5k,0.024643051,Bachelors degree or higher,0.344551077
Less than 5k,0.026768161,Bachelors degree or higher,0.293744666
Less than 5k,0.02700567,Bachelors degree or higher,0.265270303
Less than 5k,0.046999106,Bachelors degree or higher,0.441421922
Less than 5k,0.036647779,Bachelors degree or higher,0.23945071
Less than 5k,0.025462487,Bachelors degree or higher,0.225182673
Less than 5k,0.043146839,Bachelors degree or higher,0.170417072
Less than 5k,0.033604857,Bachelors degree or higher,0.265660936
Less than 5k,0.028675732,Bachelors degree or higher,0.289623792
Less than 5k,0.026947244,Bachelors degree or higher,0.297880398
Less than 5k,0.025376936,Bachelors degree or higher,0.377655734
Less than 5k,0.029700394,Bachelors degree or higher,0.229941147
Less than 5k,0.021152212,Bachelors degree or higher,0.286119453
Less than 5k,0.046243951,Bachelors degree or higher,0.314967247
Less than 5k,0.036426587,Bachelors degree or higher,0.210690844
Less than 5k,0.028315409,Bachelors degree or higher,0.331468104
Less than 5k,0.043152894,Bachelors degree or higher,0.169544378
Less than 5k,0.025439498,Bachelors degree or higher,0.340796969
Less than 5k,0.019628711,Bachelors degree or higher,0.365306186
Less than 5k,0.029245028,Bachelors degree or higher,0.334928259
Less than 5k,0.04302807,Bachelors degree or higher,0.293054214
Less than 5k,0.059160919,Bachelors degree or higher,0.139646854
Less than 5k,0.02076667,Bachelors degree or higher,0.403785158
Less than 5k,0.031937639,Bachelors degree or higher,0.391214145
Less than 5k,0.036006282,Bachelors degree or higher,0.310617512
Less than 5k,0.02665398,Bachelors degree or higher,0.452086084
Less than 5k,0.018461856,Bachelors degree or higher,0.429177385
Less than 5k,0.026484414,Bachelors degree or higher,0.365790292
Less than 5k,0.031862364,Bachelors degree or higher,0.371173178
Less than 5k,0.034911237,Bachelors degree or higher,0.210191757
Less than 5k,0.036080047,Bachelors degree or higher,0.193388765
Less than 5k,0.020773931,Bachelors degree or higher,0.264360808
Less than 5k,0.024174816,Bachelors degree or higher,0.393153686
Less than 5k,0.01722394,Bachelors degree or higher,0.405956397
Less than 5k,0.023400893,Bachelors degree or higher,0.285094124
Less than 5k,0.046149834,Bachelors degree or higher,0.189880326
Less than 5k,0.020551636,Bachelors degree or higher,0.485993302
Less than 5k,0.038642292,Bachelors degree or higher,0.322416448
Less than 5k,0.036949695,Bachelors degree or higher,0.253861635
Less than 5k,0.024184517,Bachelors degree or higher,0.476798341
Less than 5k,0.027682492,Bachelors degree or higher,0.264152233
Less than 5k,0.031979083,Bachelors degree or higher,0.217391375
Less than 5k,0.042823125,Bachelors degree or higher,0.326482023
Less than 5k,0.036664713,Bachelors degree or higher,0.556350898
Less than 5k,0.034455285,Bachelors degree or higher,0.259842849
