Year,state,Total_Agriculture_forestry_fishing_hunting_mining,Total_Construction,Total_Manufacturing,Total_Wholesale_trade,Total_Retail_trade,Total_Transportation_warehousing_utilities,Total_Information,Total_Finance_insurance_realestate_rental_leasing,Total_Professional_scientific_management_administrative_waste_management_services,Total_Educationalservices_healthcare_socialassistance,Total_Arts_entertainment_recreation_accommodation_foodservices,Total_Otherservices_except_Public_administration,Total_Public_administration,Male,Male_Agriculture_forestry_fishing_hunting_mining,Male_Construction,Male_Manufacturing,Male_Wholesale_trade,Male_Retail_trade,Male_Transportation_warehousing_utilities,Male_Information,Male_Finance_insurance_realestate_rental_leasing,Male_Professional_scientific_management_administrative_waste_management_services,Male_Educationalservices_healthcare_socialassistance,Male_Arts_entertainment_recreation_accommodation_foodservices,Male_Otherservices_except_Public_administration,Male_Public_administration,Female,Female_Agriculture_forestry_fishing_hunting_mining,Female_Construction,Female_Manufacturing,Female_Wholesale_trade,Female_Retail_trade,Female_Transportation_warehousing_utilities,Female_Information,Female_Finance_insurance_realestate_rental_leasing,Female_Professional_scientific_management_administrative_waste_management_services,Female_Educationalservices_healthcare_socialassistance,Female_Arts_entertainment_recreation_accommodation_foodservices,Female_Otherservices_except_Public_administration,Female_Public_administration,Gender_Agriculture_forestry_fishing_hunting_mining,Gender_Construction,Gender_Manufacturing,Gender_Wholesale_trade,Gender_Retail_trade,Gender_Transportation_warehousing_utilities,Gender_Information,Gender_Finance_insurance_realestate_rental_leasing,Gender_Professional_scientific_management_administrative_waste_management_services,Gender_Educationalservices_healthcare_socialassistance,Gender_Arts_entertainment_recreation_accommodation_foodservices,Gender_Otherservices_except_Public_administration,Gender_Public_administration
2019,AK,9991,14882,8132,5319,22665,19442,5530,9426,19300,53473,14891,9902,33387,128104,7948,13219,6010,4172,13468,14220,3422,4136,11071,17242,7888,5627,19681,98236,2043,1663,2122,1147,9197,5222,2108,5290,8229,36231,7003,4275,13706,Male,Male,Male,Male,Male,Male,Male,Female,Male,Female,Male,Male,Male
2019,AL,22808,107501,266309,45583,148496,94935,25360,95782,150312,339972,81362,65226,103785,869308,20169,96986,196927,34686,82065,75196,15081,38366,92609,81785,38546,37213,59679,678123,2639,10515,69382,10897,66431,19739,10279,57416,57703,258187,42816,28013,44106,Male,Male,Male,Male,Male,Male,Male,Female,Male,Female,Female,Male,Male
2019,AR,27392,65651,155752,27386,117034,62334,15892,49296,70056,227047,49049,37978,52045,532747,24134,60450,112159,20366,66150,48465,9911,20665,41377,55118,24474,22306,27172,424165,3258,5201,43593,7020,50884,13869,5981,28631,28679,171929,24575,15672,24873,Male,Male,Male,Male,Male,Male,Male,Female,Male,Female,Female,Male,Male
2019,AZ,31518,169726,188125,58975,233745,129897,41599,218247,278532,458323,166118,90423,136477,1265531,25431,153176,139417,44235,135017,98626,26911,102886,174379,138762,93642,51965,81084,936174,6087,16550,48708,14740,98728,31271,14688,115361,104153,319561,72476,38458,55393,Male,Male,Male,Male,Male,Male,Male,Female,Male,Female,Male,Male,Male
2019,CA,256482,875304,1430657,428791,1161162,756485,409026,879915,1872097,2416879,957942,570978,699076,7486129,202329,797713,1002340,297378,684952,582167,269700,438842,1190803,764996,554724,315212,384973,5228665,54153,77591,428317,131413,476210,174318,139326,441073,681294,1651883,403218,255766,314103,Male,Male,Male,Male,Male,Male,Male,Female,Male,Female,Male,Male,Male
2019,CO,52235,181519,164956,59328,191904,104234,65271,162740,303210,394875,148106,86355,120248,1192073,42641,164187,122759,43620,112727,82115,42278,79887,187968,114991,83987,46468,68445,842908,9594,17332,42197,15708,79177,22119,22993,82853,115242,279884,64119,39887,51803,Male,Male,Male,Male,Male,Male,Male,Female,Male,Female,Male,Male,Male
2019,CT,4852,79360,164396,37412,105648,55474,30118,138183,149257,298979,67104,48255,56873,700574,3272,72905,117622,27137,63252,42565,19149,74200,93946,89121,38858,24746,33801,535337,1580,6455,46774,10275,42396,12909,10969,63983,55311,209858,28246,23509,23072,Male,Male,Male,Male,Male,Male,Male,Male,Male,Female,Male,Male,Male
2019,DC,397,7844,3972,1589,9445,8148,11407,21192,71734,46796,22442,27595,55294,144739,131,6758,2371,1083,5374,5494,6009,12625,39374,15164,12081,10760,27515,143116,266,1086,1601,506,4071,2654,5398,8567,32360,31632,10361,16835,27779,Female,Male,Male,Male,Male,Male,Male,Male,Male,Female,Male,Female,Female
2019,DE,4016,25149,32215,7481,30917,17724,5099,37143,33639,78475,19836,11805,22330,176709,3109,23039,22421,5392,17673,14160,3105,17100,19339,20846,11297,7218,12010,149120,907,2110,9794,2089,13244,3564,1994,20043,14300,57629,8539,4587,10320,Male,Male,Male,Male,Male,Male,Male,Female,Male,Female,Male,Male,Male
2019,FL,63404,564036,408416,207438,736716,416065,131606,594994,909009,1417139,645585,303268,362231,3755211,48798,504883,293298,147137,417462,321335,85592,279858,540002,385847,359878,164643,206478,3004696,14606,59153,115118,60301,319254,94730,46014,315136,369007,1031292,285707,138625,155753,Male,Male,Male,Male,Male,Male,Male,Female,Male,Female,Male,Male,Male
