Year,state_code,Gender,Industry,Values
2019,AK,Male,Agriculture ,7948
2019,AL,Male,Agriculture ,20169
2019,AR,Male,Agriculture ,24134
2019,AZ,Male,Agriculture ,25431
2019,CA,Male,Agriculture ,202329
2019,CO,Male,Agriculture ,42641
2019,CT,Male,Agriculture ,3272
2019,DC,Male,Agriculture ,131
2019,DE,Male,Agriculture ,3109
2019,FL,Male,Agriculture ,48798
2019,GA,Male,Agriculture ,32929
2019,HI,Male,Agriculture ,4504
2019,IA,Male,Agriculture ,41944
2019,ID,Male,Agriculture ,25365
2019,IL,Male,Agriculture ,43782
2019,IN,Male,Agriculture ,28222
2019,KS,Male,Agriculture ,32036
2019,KY,Male,Agriculture ,28779
2019,LA,Male,Agriculture ,53293
2019,MA,Male,Agriculture ,6093
2019,MD,Male,Agriculture ,7965
2019,ME,Male,Agriculture ,8746
2019,MI,Male,Agriculture ,30665
2019,MN,Male,Agriculture ,41216
2019,MO,Male,Agriculture ,32048
2019,MS,Male,Agriculture ,20611
2019,MT,Male,Agriculture ,21968
2019,NC,Male,Agriculture ,34849
2019,ND,Male,Agriculture ,27502
2019,NE,Male,Agriculture ,31601
2019,NH,Male,Agriculture ,2777
2019,NJ,Male,Agriculture ,7739
2019,NM,Male,Agriculture ,25787
2019,NV,Male,Agriculture ,15187
2019,NY,Male,Agriculture ,31270
2019,OH,Male,Agriculture ,34922
2019,OK,Male,Agriculture ,56568
2019,OR,Male,Agriculture ,33926
2019,PA,Male,Agriculture ,54313
2019,PR,Male,Agriculture ,5332
2019,RI,Male,Agriculture ,1110
2019,SC,Male,Agriculture ,13336
2019,SD,Male,Agriculture ,20093
2019,TN,Male,Agriculture ,18770
2019,TX,Male,Agriculture ,273653
2019,UT,Male,Agriculture ,17615
2019,VA,Male,Agriculture ,22755
2019,VT,Male,Agriculture ,4764
2019,WA,Male,Agriculture ,46910
2019,WI,Male,Agriculture ,40876
2019,WV,Male,Agriculture ,21954
2019,WY,Male,Agriculture ,21879
2020,AK,Male,Agriculture ,7419
2020,AL,Male,Agriculture ,20962
2020,AR,Male,Agriculture ,23251
2020,AZ,Male,Agriculture ,24159
2020,CA,Male,Agriculture ,194904
2020,CO,Male,Agriculture ,41901
2020,CT,Male,Agriculture ,3281
2020,DC,Male,Agriculture ,149
2020,DE,Male,Agriculture ,2731
2020,FL,Male,Agriculture ,45313
2020,GA,Male,Agriculture ,33467
2020,HI,Male,Agriculture ,4294
2020,IA,Male,Agriculture ,41810
2020,ID,Male,Agriculture ,24718
2020,IL,Male,Agriculture ,43163
2020,IN,Male,Agriculture ,27342
2020,KS,Male,Agriculture ,31853
2020,KY,Male,Agriculture ,26149
2020,LA,Male,Agriculture ,51771
2020,MA,Male,Agriculture ,6655
2020,MD,Male,Agriculture ,8097
2020,ME,Male,Agriculture ,8782
2020,MI,Male,Agriculture ,29754
2020,MN,Male,Agriculture ,40438
2020,MO,Male,Agriculture ,31612
2020,MS,Male,Agriculture ,18572
2020,MT,Male,Agriculture ,21775
2020,NC,Male,Agriculture ,34488
2020,ND,Male,Agriculture ,26579
2020,NE,Male,Agriculture ,31437
2020,NH,Male,Agriculture ,2721
2020,NJ,Male,Agriculture ,7264
2020,NM,Male,Agriculture ,24798
2020,NV,Male,Agriculture ,13978
2020,NY,Male,Agriculture ,32246
2020,OH,Male,Agriculture ,33316
2020,OK,Male,Agriculture ,52419
2020,OR,Male,Agriculture ,33749
2020,PA,Male,Agriculture ,51582
2020,PR,Male,Agriculture ,4960
2020,RI,Male,Agriculture ,1140
2020,SC,Male,Agriculture ,13039
2020,SD,Male,Agriculture ,20288
2020,TN,Male,Agriculture ,18860
2020,TX,Male,Agriculture ,263186
2020,UT,Male,Agriculture ,16112
2020,VA,Male,Agriculture ,22109
2020,VT,Male,Agriculture ,4823
2020,WA,Male,Agriculture ,48081
2020,WI,Male,Agriculture ,40004
2020,WV,Male,Agriculture ,20632
2020,WY,Male,Agriculture ,20709
2021,AK,Male,Agriculture ,7708
2021,AL,Male,Agriculture ,21260
2021,AR,Male,Agriculture ,22216
2021,AZ,Male,Agriculture ,23957
2021,CA,Male,Agriculture ,195090
2021,CO,Male,Agriculture ,40074
2021,CT,Male,Agriculture ,3606
2021,DC,Male,Agriculture ,119
2021,DE,Male,Agriculture ,2905
2021,FL,Male,Agriculture ,44080
2021,GA,Male,Agriculture ,32717
2021,HI,Male,Agriculture ,4245
2021,IA,Male,Agriculture ,41486
2021,ID,Male,Agriculture ,24241
2021,IL,Male,Agriculture ,42542
2021,IN,Male,Agriculture ,26625
2021,KS,Male,Agriculture ,32140
2021,KY,Male,Agriculture ,25158
2021,LA,Male,Agriculture ,49174
2021,MA,Male,Agriculture ,6497
2021,MD,Male,Agriculture ,8590
2021,ME,Male,Agriculture ,8511
2021,MI,Male,Agriculture ,28478
2021,MN,Male,Agriculture ,40480
2021,MO,Male,Agriculture ,31088
2021,MS,Male,Agriculture ,18290
2021,MT,Male,Agriculture ,21232
2021,NC,Male,Agriculture ,33251
2021,ND,Male,Agriculture ,25665
2021,NE,Male,Agriculture ,30751
2021,NH,Male,Agriculture ,2573
2021,NJ,Male,Agriculture ,7548
2021,NM,Male,Agriculture ,24773
2021,NV,Male,Agriculture ,13932
2021,NY,Male,Agriculture ,30780
2021,OH,Male,Agriculture ,33887
2021,OK,Male,Agriculture ,50131
2021,OR,Male,Agriculture ,32137
2021,PA,Male,Agriculture ,50651
2021,PR,Male,Agriculture ,4992
2021,RI,Male,Agriculture ,1364
2021,SC,Male,Agriculture ,12522
2021,SD,Male,Agriculture ,19594
2021,TN,Male,Agriculture ,17742
2021,TX,Male,Agriculture ,256343
2021,UT,Male,Agriculture ,15754
2021,VA,Male,Agriculture ,22409
2021,VT,Male,Agriculture ,4710
2021,WA,Male,Agriculture ,47776
2021,WI,Male,Agriculture ,39909
2021,WV,Male,Agriculture ,19070
2021,WY,Male,Agriculture ,19491
2019,AK,Male,Construction,13219
2019,AL,Male,Construction,96986
